Size, Blocks, Threads, Time
65535, 1024, 1024, 0.14529
131070, 1024, 1024, 0.198941
262140, 1024, 1024, 0.312534
524280, 1024, 1024, 0.494237
1048560, 1024, 1024, 0.875579
2097120, 1024, 1024, 1.62467
4194240, 1024, 1024, 3.09486
8388480, 1024, 1024, 5.89291
16776960, 1024, 1024, 11.632
33553920, 1024, 1024, 23.02
67107840, 1024, 1024, 45.982
134215680, 1024, 1024, 91.6591
268431360, 1024, 1024, 183.302

Size, Blocks, Threads, Time
8388608, 1024, 2, 8.14139
8388608, 1024, 4, 6.95541
8388608, 1024, 8, 6.3475
8388608, 1024, 16, 5.99197
8388608, 1024, 32, 5.90137
8388608, 1024, 64, 5.84309
8388608, 1024, 128, 5.8714
8388608, 1024, 256, 5.83719
8388608, 1024, 512, 5.86091
8388608, 1024, 1024, 5.85522

Size, Blocks, Threads, Time

Size, Blocks, Threads, Time
67108864, 1024, 2, 63.0929
67108864, 1024, 4, 53.892
67108864, 1024, 8, 49.2287
67108864, 1024, 16, 46.7407
67108864, 1024, 32, 45.9081
67108864, 1024, 64, 45.7886
67108864, 1024, 128, 45.7253
67108864, 1024, 256, 45.763
67108864, 1024, 512, 45.7315
67108864, 1024, 1024, 45.7212

Size, Blocks, Threads, Time
67108864, 65535, 2, 61.1853
67108864, 65535, 4, 52.9511
67108864, 65535, 8, 48.5328
67108864, 65535, 16, 46.8232
67108864, 65535, 32, 46.0446
67108864, 65535, 64, 45.9796
67108864, 65535, 128, 45.9368
67108864, 65535, 256, 46.0036
67108864, 65535, 512, 46.4534
67108864, 65535, 1024, 48.3928

Size, Blocks, Threads, Time
268435456, 1024, 2, 247.392
268435456, 1024, 4, 215.824
268435456, 1024, 8, 196.805
268435456, 1024, 16, 186.376
268435456, 1024, 32, 183.285
268435456, 1024, 64, 182.687
268435456, 1024, 128, 182.543
268435456, 1024, 256, 182.537
268435456, 1024, 512, 182.479
268435456, 1024, 1024, 182.497


Size, Blocks, Threads, Time
67108864, 2, 2, 2705.14
67108864, 2, 4, 1381.16
67108864, 2, 8, 713.37
67108864, 2, 16, 382.982
67108864, 2, 32, 221.493
67108864, 2, 64, 133.774
67108864, 2, 128, 89.1432
67108864, 2, 256, 67.4639
67108864, 2, 512, 56.0245
67108864, 2, 1024, 50.2846
67108864, 4, 2, 1367.27
67108864, 4, 4, 712.299
